time_period,algorithm,performance,constraint_compute,constraint_memory,constraint_dataset_size,evaluation_protocol
1,ResNet,0.72,300,8.0,50000,ImageNet-v1.0
1,VGG,0.68,450,12.0,50000,ImageNet-v1.0
1,DenseNet,0.75,280,9.0,50000,ImageNet-v1.0
1,MobileNet,0.70,200,6.0,50000,ImageNet-v1.0
2,ResNet,0.74,305,8.2,51000,ImageNet-v1.0
2,VGG,0.70,455,12.1,51000,ImageNet-v1.0
2,DenseNet,0.77,285,9.1,51000,ImageNet-v1.0
2,MobileNet,0.72,205,6.1,51000,ImageNet-v1.0
3,ResNet,0.76,310,8.5,52000,ImageNet-v1.1
3,VGG,0.72,460,12.3,52000,ImageNet-v1.1
3,DenseNet,0.79,290,9.3,52000,ImageNet-v1.1
3,MobileNet,0.74,210,6.3,52000,ImageNet-v1.1
4,ResNet,0.78,315,8.7,53000,ImageNet-v1.1
4,VGG,0.74,465,12.5,53000,ImageNet-v1.1
4,DenseNet,0.81,295,9.5,53000,ImageNet-v1.1
4,MobileNet,0.76,215,6.5,53000,ImageNet-v1.1
5,ResNet,0.80,320,9.0,54000,ImageNet-v1.2
5,VGG,0.76,470,12.7,54000,ImageNet-v1.2
5,DenseNet,0.83,300,9.7,54000,ImageNet-v1.2
5,MobileNet,0.78,220,6.7,54000,ImageNet-v1.2
